x,y,made,attempts
1,3,0,1
1,5,1,0
2,4,0,1
8,11,0,1
8,7,0,1
8,5,0,1
9,7,1,0
10,7,0,1
10,27,1,0
11,13,0,1
11,29,1,0
12,27,0,1
15,8,0,1
17,7,1,0
18,25,1,0
19,8,0,2
19,8,1,0
19,18,0,1
20,23,0,1
20,22,0,1
21,11,0,1
21,22,0,1
21,30,0,1
24,32,0,1
24,5,20,12
25,31,0,1
25,10,1,1
26,27,0,1
26,24,1,0
27,22,1,0
27,24,0,1
30,28,1,0
31,9,0,1
33,26,0,1
35,28,0,1
35,21,1,0
35,26,0,1
35,19,0,1
38,18,0,1
38,26,0,1
38,25,1,0
39,5,0,1
39,25,0,1
40,27,0,1
40,14,1,0
41,14,1,0
42,21,0,1
42,23,1,0
43,4,1,0
44,14,0,1
45,20,0,1
47,5,0,1
47,4,0,1
